STATEFP,COUNTYFP,TRACTCE,GEOID,date,flares
48,013,960100,48013960100,2020-03-08,2
48,013,960100,48013960100,2020-03-11,2
48,013,960100,48013960100,2020-03-19,5
48,013,960100,48013960100,2020-03-24,2
48,013,960100,48013960100,2020-03-26,7
48,013,960100,48013960100,2020-03-30,1
48,013,960100,48013960100,2020-04-01,1
48,013,960100,48013960100,2020-04-09,3
48,013,960100,48013960100,2020-04-13,3
48,013,960100,48013960100,2020-04-14,3
48,013,960100,48013960100,2020-04-16,2
48,013,960100,48013960100,2020-04-20,1
48,013,960100,48013960100,2020-04-21,3
48,013,960100,48013960100,2020-04-24,1
48,013,960100,48013960100,2020-04-25,5
48,013,960100,48013960100,2020-04-26,2
48,013,960100,48013960100,2020-04-29,2
48,013,960100,48013960100,2020-04-30,5
48,013,960100,48013960100,2020-05-01,1
48,013,960100,48013960100,2020-05-04,2
48,013,960100,48013960100,2020-05-07,3
48,013,960100,48013960100,2020-05-10,1
48,013,960100,48013960100,2020-05-11,1
48,013,960100,48013960100,2020-05-15,1
48,013,960100,48013960100,2020-05-17,3
48,013,960100,48013960100,2020-05-18,1
48,013,960100,48013960100,2020-05-20,2
48,013,960100,48013960100,2020-05-23,2
48,013,960100,48013960100,2020-05-27,2
48,013,960100,48013960100,2020-05-30,1
48,013,960100,48013960100,2020-05-31,2
48,013,960100,48013960100,2020-06-04,2
48,013,960100,48013960100,2020-06-05,2
48,013,960100,48013960100,2020-06-06,3
48,013,960100,48013960100,2020-06-07,2
48,013,960100,48013960100,2020-06-08,2
48,013,960100,48013960100,2020-06-09,3
48,013,960100,48013960100,2020-06-11,2
48,013,960100,48013960100,2020-06-12,1
48,013,960100,48013960100,2020-06-13,1
48,013,960100,48013960100,2020-06-15,2
48,013,960100,48013960100,2020-06-17,2
48,013,960100,48013960100,2020-06-18,1
48,013,960100,48013960100,2020-06-19,1
48,013,960100,48013960100,2020-06-22,1
48,013,960100,48013960100,2020-07-03,1
48,013,960100,48013960100,2020-07-04,4
48,013,960100,48013960100,2020-07-05,2
48,013,960100,48013960100,2020-07-09,3
48,013,960100,48013960100,2020-07-13,3
48,013,960100,48013960100,2020-07-14,3
48,013,960100,48013960100,2020-07-15,2
48,013,960100,48013960100,2020-07-16,1
48,013,960100,48013960100,2020-07-17,2
48,013,960100,48013960100,2020-07-18,3
48,013,960100,48013960100,2020-07-19,2
48,013,960100,48013960100,2020-07-22,3
48,013,960100,48013960100,2020-07-23,1
48,013,960100,48013960100,2020-07-28,2
48,013,960100,48013960100,2020-07-29,1
48,013,960100,48013960100,2020-07-31,1
48,013,960100,48013960100,2020-08-02,3
48,013,960100,48013960100,2020-08-03,2
48,013,960100,48013960100,2020-08-04,2
48,013,960100,48013960100,2020-08-05,2
48,013,960100,48013960100,2020-08-06,4
48,013,960100,48013960100,2020-08-07,3
48,013,960100,48013960100,2020-08-08,2
48,013,960100,48013960100,2020-08-09,3
48,013,960100,48013960100,2020-08-10,1
48,013,960100,48013960100,2020-08-11,4
48,013,960100,48013960100,2020-08-12,3
48,013,960100,48013960100,2020-08-14,2
48,013,960100,48013960100,2020-08-15,2
48,013,960100,48013960100,2020-08-16,2
48,013,960100,48013960100,2020-08-20,1
48,013,960100,48013960100,2020-08-22,1
48,013,960100,48013960100,2020-08-23,4
48,013,960100,48013960100,2020-08-24,3
48,013,960100,48013960100,2020-08-25,3
48,013,960100,48013960100,2020-08-27,1
48,013,960100,48013960100,2020-08-28,1
48,013,960100,48013960100,2020-08-29,2
48,013,960100,48013960100,2020-08-30,3
48,013,960100,48013960100,2020-08-31,3
48,013,960100,48013960100,2020-09-05,2
48,013,960100,48013960100,2020-09-13,2
48,013,960100,48013960100,2020-09-16,3
48,013,960100,48013960100,2020-09-19,1
48,013,960100,48013960100,2020-09-20,1
48,013,960100,48013960100,2020-09-24,3
48,013,960100,48013960100,2020-09-25,2
48,013,960100,48013960100,2020-09-26,4
48,013,960100,48013960100,2020-09-27,4
48,013,960100,48013960100,2020-09-28,1
48,013,960100,48013960100,2020-09-29,1
48,013,960100,48013960100,2020-09-30,6
48,013,960100,48013960100,2020-10-01,1
48,013,960100,48013960100,2020-10-02,6
48,013,960100,48013960100,2020-10-03,1
48,013,960100,48013960100,2020-10-04,3
48,013,960100,48013960100,2020-10-05,2
48,013,960100,48013960100,2020-10-06,2
48,013,960100,48013960100,2020-10-08,1
48,013,960100,48013960100,2020-10-10,3
48,013,960100,48013960100,2020-10-11,2
48,013,960100,48013960100,2020-10-12,1
48,013,960100,48013960100,2020-10-13,3
48,013,960100,48013960100,2020-10-14,1
48,013,960100,48013960100,2020-10-18,5
48,013,960100,48013960100,2020-10-20,2
48,013,960100,48013960100,2020-10-21,2
48,013,960100,48013960100,2020-10-22,1
48,013,960100,48013960100,2020-10-23,2
48,013,960100,48013960100,2020-10-25,2
48,013,960100,48013960100,2020-10-29,3
48,013,960100,48013960100,2020-10-30,3
48,013,960100,48013960100,2020-10-31,5
48,013,960100,48013960100,2020-11-01,3
48,013,960100,48013960100,2020-11-02,2
48,013,960100,48013960100,2020-11-03,4
48,013,960100,48013960100,2020-11-04,3
48,013,960100,48013960100,2020-11-05,4
48,013,960100,48013960100,2020-11-06,4
48,013,960100,48013960100,2020-11-07,1
48,013,960100,48013960100,2020-11-08,3
48,013,960100,48013960100,2020-11-09,1
48,013,960100,48013960100,2020-11-10,2
48,013,960100,48013960100,2020-11-11,3
48,013,960100,48013960100,2020-11-13,4
48,013,960100,48013960100,2020-11-14,1
48,013,960100,48013960100,2020-11-15,2
48,013,960100,48013960100,2020-11-16,3
48,013,960100,48013960100,2020-11-17,1
48,013,960100,48013960100,2020-11-18,5
48,013,960100,48013960100,2020-11-19,3
48,013,960100,48013960100,2020-11-20,2
48,013,960100,48013960100,2020-11-21,7
48,013,960100,48013960100,2020-11-22,1
48,013,960100,48013960100,2020-11-23,1
48,013,960100,48013960100,2020-11-25,2
48,013,960100,48013960100,2020-11-26,1
48,013,960100,48013960100,2020-11-30,4
48,013,960100,48013960100,2020-12-01,5
48,013,960100,48013960100,2020-12-02,4
48,013,960100,48013960100,2020-12-03,2
48,013,960100,48013960100,2020-12-04,1
48,013,960100,48013960100,2020-12-06,1
48,013,960100,48013960100,2020-12-07,3
48,013,960100,48013960100,2020-12-08,1
48,013,960100,48013960100,2020-12-14,1
48,013,960100,48013960100,2020-12-15,2
48,013,960100,48013960100,2020-12-16,2
48,013,960100,48013960100,2020-12-17,1
48,013,960100,48013960100,2020-12-18,1
48,013,960100,48013960100,2020-12-19,1
48,013,960100,48013960100,2020-12-22,4
48,013,960100,48013960100,2020-12-23,1
48,013,960100,48013960100,2020-12-27,1
48,013,960100,48013960100,2020-12-28,2
48,235,950100,48235950100,2015-07-10,1
48,235,950100,48235950100,2015-07-21,1
48,235,950100,48235950100,2015-08-02,1
48,235,950100,48235950100,2015-08-19,1
48,235,950100,48235950100,2015-08-24,2
48,235,950100,48235950100,2015-08-27,1
48,235,950100,48235950100,2015-08-31,4
48,235,950100,48235950100,2015-09-01,1
48,235,950100,48235950100,2015-09-03,2
48,235,950100,48235950100,2015-09-05,1
48,235,950100,48235950100,2015-09-15,2
48,235,950100,48235950100,2015-09-29,1
48,235,950100,48235950100,2015-10-02,2
48,235,950100,48235950100,2015-10-21,1
48,235,950100,48235950100,2015-10-26,2
48,235,950100,48235950100,2015-11-01,1
48,235,950100,48235950100,2015-11-02,5
48,235,950100,48235950100,2015-11-22,1
48,235,950100,48235950100,2015-11-24,3
48,235,950100,48235950100,2015-12-02,1
48,235,950100,48235950100,2015-12-15,2
48,235,950100,48235950100,2015-12-16,1
48,235,950100,48235950100,2015-12-18,1
48,235,950100,48235950100,2015-12-23,1
48,235,950100,48235950100,2015-12-29,2
48,235,950100,48235950100,2016-01-17,1
